Electrode name,Xpos,Ypos,Zpos
Nz,0,"0,92","-0,38"
FP1,"-0,31","0,95",0
FPz,0,1,0
FP2,"0,31","0,95",0
AF7,"-0,59","0,81",0
AF3,"-0,46","0,86","0,23"
AFz,0,"0,92","0,38"
AF4,"0,46","0,86","0,23"
AF8,"0,59","0,81",0
F9,"-0,84","0,49","-0,24"
F7,"-0,81","0,59",0
F5,"-0,71","0,67","0,23"
F3,"-0,57","0,7","0,44"
F1,"-0,3","0,74","0,6"
Fz,0,"0,71","0,71"
F2,"0,3","0,74","0,6"
F4,"0,57","0,7","0,44"
F6,"0,71","0,67","0,23"
F8,"0,81","0,59",0
F10,"0,84","0,49","-0,24"
FT9,"-0,91","0,26","-0,32"
FT7,"-0,95","0,31",0
FC5,"-0,88","0,36","0,33"
FC3,"-0,69","0,38","0,62"
FC1,"-0,37","0,41","0,83"
FCz,0,"0,38","0,92"
FC2,"0,37","0,41","0,83"
FC4,"0,69","0,38","0,62"
FC6,"0,88","0,36","0,33"
FT8,"0,95","0,31",0
FT10,"0,91","0,26","-0,32"
T9,"-0,92",0,"-0,38"
T7,-1,0,0
C5,"-0,92",0,"0,38"
C3,"-0,71",0,"0,71"
C1,"-0,38",0,"0,92"
Cz,0,0,1
C2,"0,38",0,"0,92"
C4,"0,71",0,"0,71"
C6,"0,92",0,"0,38"
T8,1,0,0
T10,"0,92",0,"-0,38"
TP9,"-0,91","-0,26","-0,32"
TP7,"-0,95","-0,31",0
CP5,"-0,88","-0,36","0,33"
CP3,"-0,69","-0,38","0,62"
CP1,"-0,37","-0,41","0,83"
CPz,0,"-0,38","0,92"
CP2,"0,37","-0,41","0,83"
CP4,"0,69","-0,38","0,62"
CP6,"0,88","-0,36","0,33"
TP8,"0,95","-0,31",0
TP10,"0,91","-0,26","-0,32"
P9,"-0,84","-0,49","-0,24"
P7,"-0,81","-0,59",0
P5,"-0,71","-0,67","0,23"
P3,"-0,57","-0,7","0,44"
P1,"-0,3","-0,74","0,6"
Pz,0,"-0,71","0,71"
P2,"0,3","-0,74","0,6"
P4,"0,57","-0,7","0,44"
P6,"0,71","-0,67","0,23"
P8,"0,81","-0,59",0
P10,"0,84","-0,49","-0,24"
PO7,"-0,59","-0,81",0
PO3,"-0,46","-0,86","0,23"
POz,0,"-0,92","0,38"
PO4,"0,46","-0,86","0,23"
PO8,"0,59","-0,81",0
O1,"-0,31","-0,95",0
Oz,0,-1,0
O2,"0,31","-0,95",0
Iz,0,"-0,92","-0,38"
A1,"-0,87",0,"-0,5"
A2,"0,87",0,"-0,5"
VEOG1,"-0,27","0,82","-0,5"
HEOG1,"-0,27","0,82","-0,5"
VEOG2,"0,27","0,82","-0,5"
HEOG2,"0,27","0,82","-0,5"
PO9,"-0,53","-0,73","-0,42"
O9,"-0,28","-0,86","-0,42"
O10,"0,28","-0,86","-0,42"
PO10,"0,53","-0,73","-0,42"
84,"-0,16","0,98","-0,14"
85,"0,16","0,98","-0,14"
86,"-0,46","0,88","-0,14"
87,"-0,46","0,89","0,08"
88,"-0,2","0,97","0,16"
89,"0,2","0,97","0,16"
90,"0,46","0,89","0,08"
91,"0,46","0,88","-0,14"
92,"-0,68","0,61","-0,42"
93,"-0,72","0,68","-0,14"
94,"-0,59","0,77","0,23"
95,"-0,2","0,84","0,5"
96,"0,2","0,84","0,5"
97,"0,59","0,77","0,23"
98,"0,72","0,68","-0,14"
99,"0,68","0,61","-0,42"
100,"-0,82","0,39","-0,42"
101,"-0,9","0,42","-0,14"
102,"-0,86","0,49","0,14"
103,"-0,73","0,54","0,42"
104,"-0,5","0,58","0,64"
105,"-0,17","0,58","0,79"
106,"0,17","0,58","0,79"
107,"0,5","0,58","0,64"
108,"0,73","0,54","0,42"
109,"0,86","0,49","0,14"
110,"0,9","0,42","-0,14"
111,"0,82","0,39","-0,42"
112,"-0,84","0,13","-0,52"
113,"-0,97","0,15","-0,18"
114,"-0,97","0,17","0,18"
115,"-0,83","0,19","0,53"
116,"-0,56","0,21","0,8"
117,"-0,2","0,21","0,96"
118,"0,2","0,21","0,96"
119,"0,56","0,21","0,8"
120,"0,83","0,19","0,53"
121,"0,97","0,17","0,18"
122,"0,97","0,15","-0,18"
123,"0,84","0,13","-0,52"
124,"-0,84","-0,13","-0,52"
125,"-0,97","-0,15","-0,18"
126,"-0,97","-0,17","0,18"
127,"-0,83","-0,19","0,53"
128,"-0,56","-0,21","0,8"
129,"-0,2","-0,21","0,96"
130,"0,2","-0,21","0,96"
131,"0,56","-0,21","0,8"
132,"0,83","-0,19","0,53"
133,"0,97","-0,17","0,18"
134,"0,97","-0,15","-0,18"
135,"0,84","-0,13","-0,52"
136,"-0,82","-0,39","-0,42"
137,"-0,9","-0,42","-0,14"
138,"-0,86","-0,49","0,14"
139,"-0,73","-0,54","0,42"
140,"-0,5","-0,58","0,64"
141,"-0,17","-0,58","0,79"
142,"0,17","-0,58","0,79"
143,"0,5","-0,58","0,64"
144,"0,73","-0,54","0,42"
145,"0,86","-0,49","0,14"
146,"0,9","-0,42","-0,14"
147,"0,82","-0,39","-0,42"
148,"-0,63","-0,6","-0,49"
149,"-0,72","-0,68","-0,17"
150,"-0,71","-0,7","0,08"
151,"-0,59","-0,77","0,23"
152,"-0,45","-0,78","0,43"
153,"-0,2","-0,84","0,5"
154,"0,2","-0,84","0,5"
155,"0,45","-0,78","0,43"
156,"0,59","-0,77","0,23"
157,"0,71","-0,7","0,08"
158,"0,72","-0,68","-0,17"
159,"0,63","-0,6","-0,49"
160,"-0,36","-0,71","-0,61"
161,"-0,44","-0,87","-0,22"
162,"-0,46","-0,89","0,08"
163,"-0,2","-0,97","0,16"
164,"0,2","-0,97","0,16"
165,"0,46","-0,89","0,08"
166,"0,44","-0,87","-0,22"
167,"0,36","-0,71","-0,61"
168,"-0,15","-0,97","-0,21"
169,"0,15","-0,97","-0,21"
170,"-0,13","-0,8","-0,58"
171,"0,13","-0,8","-0,58"
172,"-0,45","0,78","0,43"
173,"0,45","0,78","0,43"
